Longitude,Latitude,Month,pr_ab,x,y
-117.72373,34.02262899999998,4,1,210212.2364679437,-441133.25054020714
-117.29109,34.096193999999954,4,1,249923.10271512804,-431925.6527374401
-117.284213,34.10780899999998,4,1,250520.4908302028,-430619.5237869187
-121.004458,37.25830899999999,4,1,-88960.86558570889,-83798.46669757925
-120.82390099999999,37.50812499999997,4,1,-72728.70070921684,-56183.40589553164
-119.89752600000001,36.60125899999997,4,1,9154.795113805418,-157296.5922956611
-119.458707,36.625398000000004,4,1,48342.4815445963,-154480.63519988023
-119.3612618,36.346565100000014,4,1,57253.876063474614,-185414.3851334285
-119.356657,36.330708,4,1,57678.581304299005,-187173.70780990925
-119.351667,36.234444000000025,4,1,58199.09077790198,-197867.67867555097
-119.34,36.20916700000002,4,1,59265.94047057982,-200669.18592191534
-119.319444,36.23444400000005,4,1,61091.61747087874,-197847.39448286267
-119.31055600000002,36.06194399999998,4,1,62028.820221330134,-217008.7775486512
-119.309444,36.1975,4,1,62019.17172639888,-201946.0338391047
-119.304958,36.32016699999995,4,1,62322.1406535629,-188312.32645478565
-119.30333300000001,36.293333000000004,4,1,62489.754983914856,-191293.11991676223
-119.28357900000002,36.315299000000046,4,1,64243.17921545082,-188838.9956444227
-119.269575,36.32006400000002,4,1,65494.84934641463,-188299.90805155132
-119.26956199999998,36.30547700000006,4,1,65508.50175317358,-189920.8444202775
-119.233941,36.36368799999997,4,1,68650.80510012024,-183427.0147290402
-119.12520600000002,35.34206300000001,4,1,79442.01686736247,-296837.5209490806
-119.12105,35.414727999999954,4,1,79744.61144298247,-288763.9489975567
-119.11481,35.42801499999998,4,1,80296.9561548171,-287282.9970971197
-119.107827,36.421003,4,1,79892.34652618368,-176959.00217408873
-119.07962999999998,35.40776999999999,4,1,83509.91999673175,-289501.0333977379
-119.07133400000001,35.29866699999999,4,1,84381.31233976102,-301610.2395309233
-119.068425,35.41514500000003,4,1,84518.52862304723,-288672.0256307055
-119.060366,35.29880199999997,4,1,85377.71726923098,-301585.42361253547
-119.03272500000001,35.362346,4,1,87817.17930214269,-294503.3545622304
-119.02585299999998,35.36518799999998,4,1,88437.81206178814,-294181.34147488046
-119.02566000000002,35.312839999999966,4,1,88515.07432236722,-299994.6355672581
-117.97450599999999,34.10312900000001,4,1,186866.23256907333,-432730.85828740196
-117.89015899999998,33.74641699999997,4,1,195526.94457564314,-472115.26722862665
-117.70191900000002,34.03219999999999,4,1,212200.33894084525,-440023.31058300985
-117.66440800000001,34.079462999999976,4,1,215534.16618931852,-434697.45189401787
-117.660421,34.088464,4,1,215877.3796200752,-433690.1864799531
-117.659367,34.03795400000002,4,1,216112.9572268251,-439289.11480325833
-117.653807,34.07507099999999,4,1,216524.31224079122,-435160.3542593387
-117.647174,34.025247000000014,4,1,217273.50158145538,-440670.3440078278
-117.61263900000002,34.08265700000001,4,1,220301.62000342744,-434224.2415037565
-117.556554,34.12858000000001,4,1,225344.62248759507,-428999.60508140223
-117.36658599999998,34.09066200000001,4,1,242976.7379619064,-432735.3411211991
-117.24519399999998,33.95611100000001,4,1,254607.73774285536,-447335.8723034775
-117.0057023,32.59102149999997,4,1,281512.48642498325,-597872.9479261977
-115.562114,32.75705599999996,4,1,416289.60557013255,-574188.1228812942
-117.24703990000002,33.216791699999995,4,1,256816.96560462122,-529273.4519380848
-120.45437799999999,37.32945800000001,4,1,-40205.019308139046,-76264.36518152198
-119.800657,36.78715300000002,4,1,17765.468964491305,-136621.9615053758
-119.51140800000002,36.727238,4,1,43577.49435993235,-143187.55101100262
-119.790983,36.645239000000004,4,1,18662.36797087207,-152392.94769521058
-119.813378,36.82930099999999,4,1,16622.56430215657,-131939.62050668383
